Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-11-07,Greuther Furth,Ein Frankfurt,1,2,A,0,0,D,,20,14,2,4,12,17,6,3,4,1,0,0
2021-11-19,Augsburg,Bayern Munich,2,1,H,2,1,H,,6,18,3,4,18,9,1,10,2,1,0,0
2021-11-20,Bielefeld,Wolfsburg,2,2,D,1,0,H,,10,13,3,5,15,9,6,5,4,1,0,0
2021-11-20,Dortmund,Stuttgart,2,1,H,0,0,D,,20,12,4,4,11,14,2,3,0,2,0,0
2021-11-20,Hoffenheim,RB Leipzig,2,0,H,1,0,H,,24,4,8,0,17,18,7,2,2,2,0,0
2021-11-20,Leverkusen,Bochum,1,0,H,1,0,H,,11,19,5,7,10,13,7,7,3,2,0,0
2021-11-20,M'gladbach,Greuther Furth,4,0,H,3,0,H,,19,4,11,2,11,13,7,7,1,3,0,0
2021-11-20,Union Berlin,Hertha,2,0,H,2,0,H,,16,6,5,3,17,13,7,6,1,1,0,0
2021-11-21,Freiburg,Ein Frankfurt,0,2,A,0,2,A,,20,13,6,7,10,16,10,4,0,4,0,0
2021-11-21,Mainz,FC Koln,1,1,D,1,0,H,,11,12,2,6,18,7,5,7,2,1,0,0
2021-11-26,Stuttgart,Mainz,2,1,H,1,1,D,,8,18,3,5,7,17,5,6,2,2,0,0
2021-11-27,Bochum,Freiburg,2,1,H,0,0,D,,13,22,5,11,12,13,4,7,2,1,0,0
2021-11-27,FC Koln,M'gladbach,4,1,H,0,0,D,,15,15,9,5,15,11,4,4,1,3,0,0
2021-11-27,Greuther Furth,Hoffenheim,3,6,A,1,2,A,,14,20,7,11,17,17,4,10,1,0,0,0
2021-11-27,Hertha,Augsburg,1,1,D,1,0,H,,10,20,4,7,11,14,5,6,2,3,0,0
2021-11-27,Wolfsburg,Dortmund,1,3,A,1,1,D,,15,16,7,8,9,11,7,7,4,1,0,0
2021-11-27,Bayern Munich,Bielefeld,1,0,H,0,0,D,,23,8,9,0,8,13,13,4,1,1,0,0
2021-11-28,Ein Frankfurt,Union Berlin,2,1,H,1,0,H,,17,7,4,4,4,7,7,2,0,4,0,0
