,Canada vs Morocco,Paraguay vs France,Brazil vs Norway,Mexico vs England,Portugal vs Spain,United States vs Belgium,Argentina vs Egypt,Switzerland vs Colombia,Morocco vs France,Brazil vs England,Spain vs Belgium,Argentina vs Colombia,France vs Brazil,Belgium vs Argentina,Brazil vs Argentina
Layer 10,54.044246673583984,53.697715759277344,56.617347717285156,51.654544830322266,54.47187423706055,52.928855895996094,52.18012619018555,52.874122619628906,53.63703918457031,54.61373519897461,53.023048400878906,54.74641418457031,53.99872589111328,54.07670211791992,53.930885314941406
Layer 11,53.15126037597656,51.255775451660156,55.43184280395508,53.536834716796875,52.89228057861328,51.64106750488281,50.35734939575195,52.108924865722656,52.749332427978516,53.55913162231445,52.630638122558594,54.531471252441406,52.99899673461914,52.733795166015625,52.90131378173828
Layer 12,56.55455017089844,55.214141845703125,59.3724479675293,58.479759216308594,58.205501556396484,55.24900817871094,52.659584045410156,57.93571853637695,56.3505859375,56.81594467163086,54.95697021484375,57.904258728027344,58.8519401550293,58.03915023803711,59.447505950927734
Layer 13,64.6294174194336,62.303958892822266,61.230228424072266,62.5666618347168,63.44268798828125,62.476837158203125,58.405723571777344,63.71392059326172,65.56668853759766,60.65757369995117,60.671817779541016,60.36727523803711,65.06275939941406,65.39952850341797,64.04058837890625
Layer 14,62.133792877197266,60.7713737487793,63.879798889160156,60.38677978515625,61.97269058227539,60.81610107421875,60.17025375366211,62.10795974731445,62.683895111083984,63.54509735107422,62.30868911743164,63.799034118652344,62.46979904174805,63.652591705322266,63.511104583740234
Layer 15,66.64934539794922,64.22460174560547,65.3133544921875,64.42047119140625,65.86518859863281,65.66890716552734,64.08907318115234,67.17485809326172,65.75740814208984,64.67351531982422,65.42521667480469,65.048095703125,67.8110122680664,67.59112548828125,66.63804626464844
Layer 16,68.64877319335938,65.18905639648438,66.7886962890625,67.6537857055664,68.48051452636719,67.05136108398438,70.60541534423828,67.9417953491211,67.22216033935547,66.31583404541016,73.36016082763672,66.15265655517578,68.77394104003906,69.24964904785156,68.29846954345703
Layer 17,73.21080017089844,71.3081283569336,72.2874984741211,72.16419982910156,74.92413330078125,73.4037857055664,76.18148040771484,73.67198181152344,73.88133239746094,73.07701110839844,81.1874008178711,72.04200744628906,74.97455596923828,75.52885437011719,73.9688491821289
Layer 18,82.4855728149414,80.00955963134766,80.90309143066406,75.82437896728516,79.39852142333984,79.65003967285156,77.98076629638672,80.28195190429688,81.322998046875,80.66290283203125,79.00428771972656,79.73670196533203,80.529296875,78.89742279052734,77.30850219726562
Layer 19,96.2610855102539,94.09761047363281,95.13017272949219,86.9287338256836,94.31492614746094,93.49885559082031,93.18760681152344,93.4992904663086,95.10757446289062,94.00874328613281,94.65664672851562,93.47148895263672,93.93919372558594,92.25640106201172,91.3612060546875
Layer 20,108.54545593261719,105.67943572998047,107.2850570678711,100.06119537353516,107.55847930908203,106.83648681640625,100.25645446777344,105.97078704833984,107.60453796386719,107.011474609375,103.65242767333984,106.15170288085938,107.10018157958984,106.127197265625,105.23147583007812
Layer 21,122.7286376953125,120.70189666748047,122.74396514892578,121.62069702148438,123.74595642089844,123.22792053222656,114.14247131347656,122.44031524658203,122.58775329589844,123.5099868774414,116.82562255859375,123.00071716308594,123.57329559326172,122.16608428955078,123.0219497680664
Layer 22,139.1518096923828,139.0085906982422,139.42352294921875,140.60116577148438,140.04942321777344,138.532470703125,130.56646728515625,137.89651489257812,139.0768585205078,141.78805541992188,134.35440063476562,140.1368408203125,139.341064453125,138.6626739501953,138.5135955810547
Layer 23,188.00914001464844,186.0347900390625,185.1035614013672,188.88583374023438,185.90380859375,186.132080078125,169.0672149658203,186.07354736328125,185.23521423339844,189.23260498046875,166.73353576660156,189.0714111328125,185.6056671142578,184.2276611328125,184.2207489013672
Layer 24,255.2119140625,253.9261932373047,249.68289184570312,252.92982482910156,252.86343383789062,250.0791473388672,233.3694305419922,254.17385864257812,252.13853454589844,252.8264923095703,225.49952697753906,255.77603149414062,252.224853515625,253.69451904296875,253.24029541015625
Layer 25,312.8373107910156,312.1881408691406,306.42999267578125,306.4681396484375,310.6913146972656,307.975830078125,291.1776428222656,312.50128173828125,311.489501953125,310.516357421875,286.98095703125,310.4271240234375,313.5045471191406,310.9943542480469,309.0134582519531
Layer 26,407.2364196777344,406.5933532714844,401.7523498535156,418.8731384277344,409.6575622558594,408.81103515625,378.6256408691406,408.7940673828125,409.01214599609375,408.4412536621094,376.49298095703125,404.18963623046875,416.40667724609375,405.701904296875,403.7879333496094
Layer 27,372.9134521484375,375.1842041015625,365.3033752441406,389.02801513671875,383.0663757324219,372.7843322753906,364.76678466796875,379.75653076171875,375.29339599609375,371.9945068359375,389.9039001464844,384.3695068359375,388.47308349609375,369.2606506347656,370.4275817871094
Peak Layer (l*),26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0
